query_id,domain,complexity,query_text,quality_score
code_heavy_query_000035,code_heavy,medium,How should I handle network errors when large transactions in JavaScript? I'd like to understand bes...,0.8
code_heavy_query_000165,code_heavy,medium,How should I design a builder class in C++ that supports caching? I'd like to understand best practi...,0.8
code_heavy_query_000032,code_heavy,medium,How should I design a singleton class in C++ that manages state? I'd like to understand best practic...,0.8
code_heavy_query_000134,code_heavy,medium,How should I handle database errors when concurrent updates in Rust? I'd like to understand best pra...,0.8
code_heavy_query_000113,code_heavy,medium,What's the best approach for image processing using futures in C#? What are the common pitfalls to a...,0.8
code_heavy_query_000063,code_heavy,medium,What's the best approach for image processing using promises in Python? What are the common pitfalls...,0.8
code_heavy_query_000068,code_heavy,simple,Show me how to define a async function in JavaScript,0.8999999999999999
code_heavy_query_000003,code_heavy,medium,How can I efficiently transform XML data in Java? I'd like to understand best practices for this.,0.8
code_heavy_query_000067,code_heavy,medium,What's the best approach for image processing using async/await in Python? Can you explain the key c...,0.8
code_heavy_query_000175,code_heavy,medium,How should I handle authentication errors when high-frequency queries in JavaScript? Please provide ...,0.8
code_heavy_query_000007,code_heavy,medium,What's an efficient way to implement dynamic programming for memory constraints in C++? Please provi...,1.0
code_heavy_query_000079,code_heavy,medium,What's an efficient way to implement hash table for memory constraints in Python? Can you explain th...,1.0
code_heavy_query_000100,code_heavy,complex,What's the best strategy for parallel processing in C++ while avoiding memory leaks? I need to under...,0.95
code_heavy_query_000127,code_heavy,medium,What's the best approach for database queries using async/await in Rust? What are the common pitfall...,0.8
code_heavy_query_000191,code_heavy,medium,What's an efficient way to implement quicksort for real-time processing in Python? Can you explain t...,1.0
code_heavy_query_000184,code_heavy,medium,What's the best approach for image processing using promises in JavaScript? What are the common pitf...,0.8
code_heavy_query_000132,code_heavy,medium,How should I handle parsing errors when high-frequency queries in Python? What are the common pitfal...,0.8
code_heavy_query_000130,code_heavy,complex,How would you architect a messaging system in Rust that handles fault tolerance? I need to understan...,0.95
code_heavy_query_000198,code_heavy,medium,How should I handle validation errors when high-frequency queries in Go? Can you explain the key con...,0.8
code_heavy_query_000006,code_heavy,medium,What's the best approach for image processing using futures in TypeScript? Please provide working ex...,0.8
code_heavy_query_000121,code_heavy,simple,Show me how to define a pure function in Rust,0.8999999999999999
code_heavy_query_000108,code_heavy,medium,What's the best approach for image processing using futures in Python? Please provide working exampl...,0.8
code_heavy_query_000033,code_heavy,medium,How should I design a adapter class in TypeScript that supports caching? Can you explain the key con...,0.8
code_heavy_query_000148,code_heavy,medium,What's the best approach for image processing using callbacks in Python? What are the common pitfall...,0.8
code_heavy_query_000009,code_heavy,medium,How should I handle authentication errors when large transactions in Go? I'd like to understand best...,0.8
code_heavy_query_000159,code_heavy,medium,What's an efficient way to implement quicksort for large datasets in Go? What are the common pitfall...,1.0
code_heavy_query_000141,code_heavy,medium,How can I efficiently sort binary data in JavaScript? What are the common pitfalls to avoid?,0.8
code_heavy_query_000095,code_heavy,complex,How would you architect a authentication system in C++ that handles high throughput? I need to under...,0.95
code_heavy_query_000105,code_heavy,medium,How can I efficiently filter XML data in Scala? Please provide working examples.,0.8
code_heavy_query_000123,code_heavy,simple,Show me how to define a callback function in Go,0.8999999999999999
code_heavy_query_000190,code_heavy,medium,How should I design a singleton class in C# that supports caching? Please provide working examples.,0.8
code_heavy_query_000069,code_heavy,simple,Show me how to define a decorator function in Rust,0.8999999999999999
code_heavy_query_000125,code_heavy,simple,Show me how to define a async function in JavaScript,0.8999999999999999
code_heavy_query_000197,code_heavy,medium,How should I design a builder class in Java that is thread-safe? Can you explain the key concepts in...,0.8
code_heavy_query_000153,code_heavy,medium,What's the best approach for API requests using callbacks in C#? I'd like to understand best practic...,0.8
code_heavy_query_000030,code_heavy,medium,How should I design a singleton class in Java that is thread-safe? What are the common pitfalls to a...,0.8
code_heavy_query_000031,code_heavy,simple,Show me how to define a recursive function in Go,0.8999999999999999
code_heavy_query_000183,code_heavy,medium,How can I efficiently validate JSON data in Scala? What are the common pitfalls to avoid?,0.8
code_heavy_query_000038,code_heavy,medium,What's an efficient way to implement binary search for real-time processing in Go? What are the comm...,1.0
code_heavy_query_000051,code_heavy,medium,How should I design a observer class in Python that supports caching? I'd like to understand best pr...,0.8
code_heavy_query_000133,code_heavy,medium,What's an efficient way to implement hash table for real-time processing in Java? What are the commo...,1.0
code_heavy_query_000078,code_heavy,medium,How should I design a adapter class in Java that supports caching? Please provide working examples.,0.8
code_heavy_query_000137,code_heavy,medium,How can I efficiently validate JSON data in JavaScript? Please provide working examples.,0.8
code_heavy_query_000161,code_heavy,medium,How should I handle database errors when high-frequency queries in JavaScript? What are the common p...,0.8
code_heavy_query_000011,code_heavy,medium,How can I efficiently group XML data in Java? Can you explain the key concepts involved?,0.8
code_heavy_query_000073,code_heavy,medium,How should I design a observer class in Python that supports caching? Can you explain the key concep...,0.8
